
【10-28 17:31:43]  X:-0.7964177 Y:-0.012783164 Z:3.1004498
【10-28 17:31:43]  X:-0.99349153 Y:0.49255127 Z:0.59335184
【10-28 17:31:43]  X:1.2938958 Y:-0.27150908 Z:-1.4141375
【10-28 17:31:44]  X:1.352219 Y:-0.21544957 Z:-2.8925903
【10-28 17:31:44]  X:0.06005424 Y:0.11331742 Z:-1.8937725
【10-28 17:31:44]  X:-0.24221432 Y:-0.37617123 Z:1.2630032
【10-28 17:31:44]  X:-0.31664962 Y:-0.057657395 Z:3.716039
【10-28 17:31:44]  X:-0.88283724 Y:0.8992157 Z:1.4359754
【10-28 17:31:45]  X:0.17124113 Y:0.18975009 Z:-1.0456895
【10-28 17:31:45]  X:1.3733912 Y:-0.49388286 Z:-2.357828
【10-28 17:31:45]  X:0.36565176 Y:-0.019840535 Z:-2.451305
【10-28 17:31:45]  X:-0.115447946 Y:-0.15939008 Z:0.39268282
【10-28 17:31:45]  X:-0.45872915 Y:-0.2872217 Z:3.1442587
【10-28 17:31:46]  X:-0.75180984 Y:0.822783 Z:2.0996346
【10-28 17:31:46]  X:-0.13701953 Y:0.1932122 Z:-0.2226401
【10-28 17:31:46]  X:1.2787158 Y:-0.30413276 Z:-2.2860558
【10-28 17:31:46]  X:0.336357 Y:-0.03528686 Z:-2.801244
【10-28 17:31:46]  X:-0.15379743 Y:-0.21957746 Z:-0.44967443
【10-28 17:31:47]  X:-0.2026664 Y:-0.39800912 Z:2.6897907
【10-28 17:31:47]  X:0.26525065 Y:0.22277325 Z:2.9550414
【10-28 17:31:47]  X:-0.027430538 Y:0.5278381 Z:0.5181176
【10-28 17:31:47]  X:0.31345382 Y:-0.27656907 Z:-1.7335835
【10-28 17:31:47]  X:0.6964161 Y:-0.5342297 Z:-2.8644938
【10-28 17:31:48]  X:-0.16431692 Y:0.32477224 Z:-1.2411653
【10-28 17:31:48]  X:-0.43436125 Y:-0.46858284 Z:1.6468976
【10-28 17:31:48]  X:-0.18642114 Y:0.08721846 Z:2.8885956
【10-28 17:31:48]  X:-0.12530163 Y:0.33649015 Z:1.1739205
【10-28 17:31:48]  X:-0.121706374 Y:0.15273218 Z:-1.3472922
【10-28 17:31:49]  X:0.942492 Y:-0.2561959 Z:-2.8465176
【10-28 17:31:49]  X:0.55793184 Y:0.28961855 Z:-1.7961676
【10-28 17:31:49]  X:-0.5404881 Y:-0.48376286 Z:1.5482275
【10-28 17:31:49]  X:-0.19494325 Y:-0.18162745 Z:3.1257498
【10-28 17:31:49]  X:-1.0989527 Y:0.9510141 Z:1.251019
【10-28 17:31:50]  X:0.2695117 Y:-0.06458161 Z:-0.859002
【10-28 17:31:50]  X:1.2776506 Y:-0.43582597 Z:-2.9871323
【10-28 17:31:50]  X:0.18029587 Y:0.08748478 Z:-1.8002956
【10-28 17:31:50]  X:-0.20919114 Y:-0.36951333 Z:1.2938958
【10-28 17:31:50]  X:0.018508956 Y:-0.11518163 Z:3.1968563
【10-28 17:31:51]  X:-0.8681899 Y:0.8275767 Z:1.5274549
【10-28 17:31:51]  X:0.124236375 Y:0.11385005 Z:-0.9503483
【10-28 17:31:51]  X:1.2900343 Y:-0.48749128 Z:-2.6991117
【10-28 17:31:51]  X:0.12756532 Y:0.277368 Z:-2.3784673
【10-28 17:31:51]  X:-0.21385168 Y:-0.08695214 Z:0.54861075
【10-28 17:31:52]  X:-0.51412284 Y:-0.69947875 Z:3.2567773
【10-28 17:31:52]  X:-1.0578068 Y:0.708134 Z:1.9679414
【10-28 17:31:52]  X:0.33023173 Y:0.054461602 Z:-0.18216008
【10-28 17:31:52]  X:1.3110732 Y:-0.24234748 Z:-2.164749
【10-28 17:31:52]  X:0.59361815 Y:-0.15086797 Z:-2.7335997
【10-28 17:31:53]  X:-0.06311687 Y:0.2416817 Z:-1.0769815
【10-28 17:31:53]  X:-0.6591319 Y:-0.48030075 Z:2.4579628
