
【10-28 17:31:52]  X:4.433892 Y:-1.6272511 Z:1.1054585
【10-28 17:31:52]  X:5.536721 Y:4.2122116 Z:2.303052
【10-28 17:31:52]  X:3.992621 Y:4.841086 Z:2.061404
【10-28 17:31:52]  X:4.100334 Y:-2.0060608 Z:0.4498806
【10-28 17:31:52]  X:0.8146124 Y:-7.4989586 Z:0.63420945
【10-28 17:31:53]  X:-4.473845 Y:-6.46139 Z:-0.46161428
【10-28 17:31:53]  X:0.19294071 Y:-3.0763264 Z:0.84090674
【10-28 17:31:53]  X:5.116899 Y:1.9956427 Z:1.0966799
【10-28 17:31:53]  X:4.657394 Y:5.6301193 Z:1.5212433
【10-28 17:31:53]  X:5.091302 Y:1.0618663 Z:1.33778
【10-28 17:31:54]  X:1.8336458 Y:-6.481081 Z:0.8457189
【10-28 17:31:54]  X:-3.1003222 Y:-7.0157757 Z:0.14350298
【10-28 17:31:54]  X:-2.2881093 Y:-4.587417 Z:-0.40314186
【10-28 17:31:54]  X:5.699677 Y:0.3317914 Z:1.926821
【10-28 17:31:54]  X:4.6186285 Y:5.025672 Z:2.0220463
【10-28 17:31:55]  X:4.3026767 Y:3.6004748 Z:1.3270605
